Period,Variable,Shock,Value
66,omega_a_1,eps_a_basket_2,-3.715659087297923e-20
67,omega_a_1,eps_a_basket_2,-3.394759976824534e-20
68,omega_a_1,eps_a_basket_2,-3.1008840975728427e-20
69,omega_a_1,eps_a_basket_2,-2.8318357944032444e-20
70,omega_a_1,eps_a_basket_2,-2.585588310891838e-20
71,omega_a_1,eps_a_basket_2,-2.36027196613868e-20
72,omega_a_1,eps_a_basket_2,-2.1541630072272353e-20
73,omega_a_1,eps_a_basket_2,-1.965673120436693e-20
74,omega_a_1,eps_a_basket_2,-1.7933395809319864e-20
75,omega_a_1,eps_a_basket_2,-1.6358160181238542e-20
76,omega_a_1,eps_a_basket_2,-1.491863772068029e-20
77,omega_a_1,eps_a_basket_2,-1.3603438150421303e-20
78,omega_a_1,eps_a_basket_2,-1.240209211700731e-20
79,omega_a_1,eps_a_basket_2,-1.1304980908771902e-20
80,omega_a_1,eps_a_basket_2,-1.0303271021013501e-20
81,omega_a_1,eps_a_basket_2,-9.388853301719063e-21
82,omega_a_1,eps_a_basket_2,-8.554286416073377e-21
83,omega_a_1,eps_a_basket_2,-7.792744374539637e-21
84,omega_a_1,eps_a_basket_2,-7.097967877151914e-21
85,omega_a_1,eps_a_basket_2,-6.464219235496337e-21
86,omega_a_1,eps_a_basket_2,-5.886240643400356e-21
87,omega_a_1,eps_a_basket_2,-5.359215577368608e-21
88,omega_a_1,eps_a_basket_2,-4.878733118109207e-21
89,omega_a_1,eps_a_basket_2,-4.440754994927999e-21
90,omega_a_1,eps_a_basket_2,-4.041585165201941e-21
91,omega_a_1,eps_a_basket_2,-3.677841751471815e-21
92,omega_a_1,eps_a_basket_2,-3.3464311688356944e-21
93,omega_a_1,eps_a_basket_2,-3.04452428521208e-21
94,omega_a_1,eps_a_basket_2,-2.7695344666248313e-21
95,omega_a_1,eps_a_basket_2,-2.519097368902912e-21
96,omega_a_1,eps_a_basket_2,-2.291052346059128e-21
97,omega_a_1,eps_a_basket_2,-2.0834253540950715e-21
98,omega_a_1,eps_a_basket_2,-1.8944132370632353e-21
99,omega_a_1,eps_a_basket_2,-1.7223692898968156e-21
100,omega_a_1,eps_a_basket_2,-1.5657899997930474e-21
1,omega_G_2,eps_a_basket_2,2.06919378165785e-19
2,omega_G_2,eps_a_basket_2,3.6501196496183944e-19
3,omega_G_2,eps_a_basket_2,4.894168406170251e-19
4,omega_G_2,eps_a_basket_2,5.852906214915553e-19
5,omega_G_2,eps_a_basket_2,6.570954777850092e-19
6,omega_G_2,eps_a_basket_2,7.086864566048568e-19
7,omega_G_2,eps_a_basket_2,7.4338828488288485e-19
8,omega_G_2,eps_a_basket_2,7.640628829392588e-19
9,omega_G_2,eps_a_basket_2,7.7316867853552905e-19
10,omega_G_2,eps_a_basket_2,7.728126861831526e-19
11,omega_G_2,eps_a_basket_2,7.6479620551589625e-19
12,omega_G_2,eps_a_basket_2,7.506548941202596e-19
13,omega_G_2,eps_a_basket_2,7.316938829485914e-19
14,omega_G_2,eps_a_basket_2,7.090185250700542e-19
